"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_102","E1","1",8,69871
"NSFTV_102","E1","1",9,87094
"NSFTV_102","E1","1",10,106409
"NSFTV_102","E1","1",11,123363
"NSFTV_102","E1","1",12,144559
"NSFTV_102","E1","1",13,169192
"NSFTV_102","E1","1",14,199820
"NSFTV_102","E1","1",15,245957
"NSFTV_102","E1","1",16,268805
"NSFTV_102","E1","1",17,314330
"NSFTV_102","E1","1",18,376455
"NSFTV_102","E1","1",19,420089
"NSFTV_102","E1","1",20,487496
"NSFTV_102","E1","2",1,NA
"NSFTV_102","E1","2",2,NA
"NSFTV_102","E1","2",3,NA
"NSFTV_102","E1","2",4,NA
"NSFTV_102","E1","2",5,NA
"NSFTV_102","E1","2",6,NA
"NSFTV_102","E1","2",7,NA
"NSFTV_102","E1","2",8,NA
"NSFTV_102","E1","2",9,NA
"NSFTV_102","E1","2",10,NA
"NSFTV_102","E1","2",11,NA
"NSFTV_102","E1","2",12,NA
"NSFTV_102","E1","2",13,NA
"NSFTV_102","E1","2",14,NA
"NSFTV_102","E1","2",15,NA
"NSFTV_102","E1","2",16,NA
"NSFTV_102","E1","2",17,NA
"NSFTV_102","E1","2",18,NA
"NSFTV_102","E1","2",19,NA
"NSFTV_102","E1","2",20,NA
"NSFTV_102","E2","1",1,14642
"NSFTV_102","E2","1",2,16388
"NSFTV_102","E2","1",3,21271
"NSFTV_102","E2","1",4,25244
"NSFTV_102","E2","1",5,30502
"NSFTV_102","E2","1",6,35420
"NSFTV_102","E2","1",7,44977
"NSFTV_102","E2","1",8,53650
"NSFTV_102","E2","1",9,63240
"NSFTV_102","E2","1",10,77559
"NSFTV_102","E2","1",11,91598
"NSFTV_102","E2","1",12,106030
"NSFTV_102","E2","1",13,119780
"NSFTV_102","E2","1",14,139815
"NSFTV_102","E2","1",15,154046
"NSFTV_102","E2","1",16,176971
"NSFTV_102","E2","1",17,203294
"NSFTV_102","E2","1",18,246778
"NSFTV_102","E2","1",19,268323
"NSFTV_102","E2","1",20,298838
"NSFTV_102","E2","2",1,NA
"NSFTV_102","E2","2",2,NA
"NSFTV_102","E2","2",3,NA
"NSFTV_102","E2","2",4,NA
"NSFTV_102","E2","2",5,NA
"NSFTV_102","E2","2",6,NA
"NSFTV_102","E2","2",7,NA
"NSFTV_102","E2","2",8,NA
"NSFTV_102","E2","2",9,NA
"NSFTV_102","E2","2",10,NA
"NSFTV_102","E2","2",11,NA
"NSFTV_102","E2","2",12,NA
"NSFTV_102","E2","2",13,NA
"NSFTV_102","E2","2",14,NA
"NSFTV_102","E2","2",15,NA
"NSFTV_102","E2","2",16,NA
"NSFTV_102","E2","2",17,NA
"NSFTV_102","E2","2",18,NA
"NSFTV_102","E2","2",19,NA
"NSFTV_102","E2","2",20,NA
"NSFTV_102","E3","1",1,13006
"NSFTV_102","E3","1",2,15108
"NSFTV_102","E3","1",3,16601
"NSFTV_102","E3","1",4,21397
"NSFTV_102","E3","1",5,25063
"NSFTV_102","E3","1",6,33414
"NSFTV_102","E3","1",7,43366
"NSFTV_102","E3","1",8,57342
"NSFTV_102","E3","1",9,66937
"NSFTV_102","E3","1",10,81840
"NSFTV_102","E3","1",11,97190
"NSFTV_102","E3","1",12,113318
"NSFTV_102","E3","1",13,134064
"NSFTV_102","E3","1",14,156218
"NSFTV_102","E3","1",15,184288
"NSFTV_102","E3","1",16,213571
"NSFTV_102","E3","1",17,246548
"NSFTV_102","E3","1",18,292563
"NSFTV_102","E3","1",19,339430
"NSFTV_102","E3","1",20,384914
"NSFTV_102","E3","2",1,NA
"NSFTV_102","E3","2",2,NA
"NSFTV_102","E3","2",3,NA
"NSFTV_102","E3","2",4,NA
"NSFTV_102","E3","2",5,NA
"NSFTV_102","E3","2",6,NA
"NSFTV_102","E3","2",7,NA
"NSFTV_102","E3","2",8,NA
"NSFTV_102","E3","2",9,NA
"NSFTV_102","E3","2",10,NA
"NSFTV_102","E3","2",11,NA
"NSFTV_102","E3","2",12,NA
"NSFTV_102","E3","2",13,NA
"NSFTV_102","E3","2",14,NA
"NSFTV_102","E3","2",15,NA
"NSFTV_102","E3","2",16,NA
"NSFTV_102","E3","2",17,NA
"NSFTV_102","E3","2",18,NA
"NSFTV_102","E3","2",19,NA
"NSFTV_102","E3","2",20,NA
"NSFTV_103","E1","1",1,9726
"NSFTV_103","E1","1",2,13338
"NSFTV_103","E1","1",3,17619
"NSFTV_103","E1","1",4,20275
"NSFTV_103","E1","1",5,22373
"NSFTV_103","E1","1",6,27403
"NSFTV_103","E1","1",7,38441
"NSFTV_103","E1","1",8,45187
"NSFTV_103","E1","1",9,51453
"NSFTV_103","E1","1",10,60694
"NSFTV_103","E1","1",11,75383
"NSFTV_103","E1","1",12,86307
"NSFTV_103","E1","1",13,98283
"NSFTV_103","E1","1",14,114586
"NSFTV_103","E1","1",15,137918
"NSFTV_103","E1","1",16,157261
"NSFTV_103","E1","1",17,173358
"NSFTV_103","E1","1",18,194794
"NSFTV_103","E1","1",19,232940
"NSFTV_103","E1","1",20,246824
"NSFTV_103","E1","2",1,NA
"NSFTV_103","E1","2",2,NA
"NSFTV_103","E1","2",3,NA
"NSFTV_103","E1","2",4,NA
"NSFTV_103","E1","2",5,NA
"NSFTV_103","E1","2",6,NA
"NSFTV_103","E1","2",7,NA
"NSFTV_103","E1","2",8,NA
"NSFTV_103","E1","2",9,NA
"NSFTV_103","E1","2",10,NA
"NSFTV_103","E1","2",11,NA
"NSFTV_103","E1","2",12,NA
"NSFTV_103","E1","2",13,NA
"NSFTV_103","E1","2",14,NA
"NSFTV_103","E1","2",15,NA
"NSFTV_103","E1","2",16,NA
"NSFTV_103","E1","2",17,NA
"NSFTV_103","E1","2",18,NA
"NSFTV_103","E1","2",19,NA
"NSFTV_103","E1","2",20,NA
"NSFTV_103","E2","1",1,9077
"NSFTV_103","E2","1",2,10862
"NSFTV_103","E2","1",3,12238
"NSFTV_103","E2","1",4,14909
"NSFTV_103","E2","1",5,18308
